,sandwich_name,sandwich_description,restaurant_name,bread_type,sandwich_length,calories,calories_from_fat,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrates,dietary_fiber,sugars,protein,Unnamed: 0,sandwich_id,sandwich_type
61,#9 Italian Night Club,"A tasty Italian sandwich, made with hand-sliced salami, capicola and smoked ham, topped with mayo, fresh-sliced lettuce, onions, oil & vinegar and oregano-basil. The #9 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-Ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,8 Inch,420,420,46,14.0,0.0,130,"2,930",7,7,5.0,49,,,
62,#9 Italian Night Club,"A tasty Italian sandwich, made with hand-sliced salami, capicola and smoked ham, topped with mayo, fresh-sliced lettuce, onions, oil & vinegar and oregano-basil. The #9 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-Ons to customize your sandwich just how you like!",Jimmy Johns,Think-Sliced Wheat,na,950,480,52,14.0,0.0,130,"2,530",6,6,13.0,51,,,
63,#9 Italian Night Club,"A tasty Italian sandwich, made with hand-sliced salami, capicola and smoked ham, topped with mayo, fresh-sliced lettuce, onions, oil & vinegar and oregano-basil. The #9 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-Ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,16 Inch,"1,940",840,840,27.0,0.0,255,"5,860",168,13,10.0,99,,,
64,#10 Hunter's Club,"Made with a double portion of hand-sliced roast beef and provolone cheese, topped with mayo, fresh-sliced lettuce and tomato. The #10 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies our Add-ons to customize your sandwich just how you like!",Jimmy Johns,Unwich,na,480,280,32,10.0,0.0,130,"1,370",5,2,3.0,42,,,
65,#10 Hunter's Club,"Made with a double portion of hand-sliced roast beef and provolone cheese, topped with mayo, fresh-sliced lettuce and tomato. The #10 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies our Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,8 Inch,310,310,35,10.0,0.0,130,"2,150",6,6,2.0,56,,,
66,#10 Hunter's Club,"Made with a double portion of hand-sliced roast beef and provolone cheese, topped with mayo, fresh-sliced lettuce and tomato. The #10 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies our Add-ons to customize your sandwich just how you like!",Jimmy Johns,Think-Sliced Wheat,na,840,360,40,10.0,0.0,130,"1,760",5,5,10.0,58,,,
67,#10 Hunter's Club,"Made with a double portion of hand-sliced roast beef and provolone cheese, topped with mayo, fresh-sliced lettuce and tomato. The #10 is served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies our Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,16 Inch,"1,730",610,610,21.0,0.0,255,"4,310",156,12,4.0,113,,,
68,#11 Country Club,"Made with tasty hand-sliced turkey breast, smoked ham and provolone cheese and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Country Club® comes topped with mayo, fresh-sliced lettuce and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Unwich,na,430,260,28,8.0,0.0,110,"1,590",8,2,4.0,35,,,
69,#11 Country Club,"Made with tasty hand-sliced turkey breast, smoked ham and provolone cheese and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Country Club® comes topped with mayo, fresh-sliced lettuce and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,8 Inch,280,280,31,8.0,0.0,100,"2,380",6,6,3.0,49,,,
70,#11 Country Club,"Made with tasty hand-sliced turkey breast, smoked ham and provolone cheese and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Country Club® comes topped with mayo, fresh-sliced lettuce and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Think-Sliced Wheat,na,800,340,37,8.0,0.0,100,"1,980",5,5,12.0,51,,,
71,#11 Country Club,"Made with tasty hand-sliced turkey breast, smoked ham and provolone cheese and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Country Club® comes topped with mayo, fresh-sliced lettuce and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,16 Inch,"1,650",560,560,17.0,0.0,200,"4,760",163,12,7.0,98,,,
72,#12 Beach Club,"Made with tasty hand-sliced turkey breast, provolone cheese and avocado and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Beach Club® comes topped with mayo and fresh-sliced lettuce, cucumber and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Unwich,na,510,340,38,13.0,0.0,95,"1,230",9,3,3.0,32,,,
73,#12 Beach Club,"Made with tasty hand-sliced turkey breast, provolone cheese and avocado and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Beach Club® comes topped with mayo and fresh-sliced lettuce, cucumber and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,8 Inch,370,370,41,13.0,0.0,95,"2,020",7,7,2.0,47,,,
74,#12 Beach Club,"Made with tasty hand-sliced turkey breast, provolone cheese and avocado and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Beach Club® comes topped with mayo and fresh-sliced lettuce, cucumber and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Think-Sliced Wheat,na,870,420,46,13.0,0.0,95,"1,620",6,6,11.0,48,,,
75,#12 Beach Club,"Made with tasty hand-sliced turkey breast, provolone cheese and avocado and served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. The Beach Club® comes topped with mayo and fresh-sliced lettuce, cucumber and tomato. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,16 Inch,"1,790",730,730,27.0,0.0,190,"4,040",164,14,5.0,93,,,
76,#13 Jimmy Cubano,"Our version of the famous Cuban sandwich, the Jimmy Cubano™ is made with applewood smoked bacon, and hand-sliced smoked ham, topped with sliced kosher dill pickles, mayo and Dijon mustard. Served on your choice of fresh-baked, gutted 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Unwich,na,490,340,37,12.0,0.0,90,"2,230",5,1,2.0,30,,,
77,#13 Jimmy Cubano,"Our version of the famous Cuban sandwich, the Jimmy Cubano™ is made with applewood smoked bacon, and hand-sliced smoked ham, topped with sliced kosher dill pickles, mayo and Dijon mustard. Served on your choice of fresh-baked, gutted 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,8 Inch,360,360,39,12.0,0.0,90,"2,800",4,4,1.0,40,,,
78,#13 Jimmy Cubano,"Our version of the famous Cuban sandwich, the Jimmy Cubano™ is made with applewood smoked bacon, and hand-sliced smoked ham, topped with sliced kosher dill pickles, mayo and Dijon mustard. Served on your choice of fresh-baked, gutted 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Think-Sliced Wheat,na,850,420,45,12.0,0.0,90,"2,620",5,5,10.0,46,,,
79,#13 Jimmy Cubano,"Our version of the famous Cuban sandwich, the Jimmy Cubano™ is made with applewood smoked bacon, and hand-sliced smoked ham, topped with sliced kosher dill pickles, mayo and Dijon mustard. Served on your choice of fresh-baked, gutted 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,16 Inch,"1,540",720,720,25.0,0.0,175,"5,600",115,9,3.0,80,,,
80,#14 Bootlegger Club,"The Bootlegger Club® is made with hand-sliced roast beef & turkey breast, topped with mayo and fresh-sliced lettuce & tomato. Served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Unwich,na,330,180,20,4.0,0.0,90,"1,180",5,2,3.0,31,,,
81,#14 Bootlegger Club,"The Bootlegger Club® is made with hand-sliced roast beef & turkey breast, topped with mayo and fresh-sliced lettuce & tomato. Served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,8 Inch,210,210,23,4.0,0.0,90,"1,970",6,6,2.0,46,,,
82,#14 Bootlegger Club,"The Bootlegger Club® is made with hand-sliced roast beef & turkey breast, topped with mayo and fresh-sliced lettuce & tomato. Served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Think-Sliced Wheat,na,700,260,29,4.0,0.0,90,"1,570",5,5,10.0,47,,,
83,#14 Bootlegger Club,"The Bootlegger Club® is made with hand-sliced roast beef & turkey breast, topped with mayo and fresh-sliced lettuce & tomato. Served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,16 Inch,"1,450",410,410,7.0,0.0,185,"3,940",157,12,4.0,91,,,
84,#15 Club Tuna,"The Club Tuna® is our house-made tuna salad and provolone cheese, topped with fresh-sliced lettuce & tomato. Served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick- Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Unwich,na,500,350,40,14.0,0.0,75,"1,180",10,3,5.0,29,,,
85,#15 Club Tuna,"The Club Tuna® is our house-made tuna salad and provolone cheese, topped with fresh-sliced lettuce & tomato. Served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick- Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,8 Inch,380,380,42,14.0,0.0,75,"1,970",7,7,4.0,43,,,
86,#15 Club Tuna,"The Club Tuna® is our house-made tuna salad and provolone cheese, topped with fresh-sliced lettuce & tomato. Served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick- Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Think-Sliced Wheat,na,870,430,48,14.0,0.0,75,"1,570",6,6,12.0,45,,,
87,#15 Club Tuna,"The Club Tuna® is our house-made tuna salad and provolone cheese, topped with fresh-sliced lettuce & tomato. Served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick- Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,16 Inch,"1,780",750,750,27.0,0.0,150,"3,930",166,14,8.0,87,,,
88,#16 Club Lulu,"The Club Lulu® is hand-sliced turkey breast and applewood smoked bacon, topped with mayo and fresh-sliced lettuce & tomato. Served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-Ons to customize your sandwich just how you like!",Jimmy Johns,Unwich,na,340,230,24,5.0,0.0,65,"1,060",5,2,3.0,22,,,
89,#16 Club Lulu,"The Club Lulu® is hand-sliced turkey breast and applewood smoked bacon, topped with mayo and fresh-sliced lettuce & tomato. Served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-Ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,8 Inch,250,250,27,5.0,0.0,65,"1,840",6,6,2.0,36,,,
90,#16 Club Lulu,"The Club Lulu® is hand-sliced turkey breast and applewood smoked bacon, topped with mayo and fresh-sliced lettuce & tomato. Served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-Ons to customize your sandwich just how you like!",Jimmy Johns,Think-Sliced Wheat,na,700,310,32,5.0,0.0,65,"1,440",5,5,10.0,38,,,
91,#16 Club Lulu,"The Club Lulu® is hand-sliced turkey breast and applewood smoked bacon, topped with mayo and fresh-sliced lettuce & tomato. Served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-Ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,16 Inch,"1,450",500,500,11.0,0.0,125,"3,680",157,12,4.0,73,,,
92,#17 Ultimate Porker,"The Ultimate Porker® is hand-sliced smoked ham and applewood smoked bacon, topped with mayo and fresh-sliced lettuce & tomato. Served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Unwich,na,340,240,25,6.0,0.0,60,"1,180",6,2,4.0,20,,,
93,#17 Ultimate Porker,"The Ultimate Porker® is hand-sliced smoked ham and applewood smoked bacon, topped with mayo and fresh-sliced lettuce & tomato. Served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,8 Inch,260,260,28,6.0,0.0,60,"1,970",6,6,3.0,34,,,
94,#17 Ultimate Porker,"The Ultimate Porker® is hand-sliced smoked ham and applewood smoked bacon, topped with mayo and fresh-sliced lettuce & tomato. Served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,Think-Sliced Wheat,na,710,320,33,6.0,0.0,60,"1,570",5,5,12.0,36,,,
95,#17 Ultimate Porker,"The Ultimate Porker® is hand-sliced smoked ham and applewood smoked bacon, topped with mayo and fresh-sliced lettuce & tomato. Served on your choice of fresh-baked 8"" or Giant 16"" French bread, Thick-Sliced Wheat bread or our lettuce-wrapped Unwich®. Plus, add any of our Freebies or Add-ons to customize your sandwich just how you like!",Jimmy Johns,French Bread,16 Inch,"1,470",520,520,12.0,0.0,120,"3,930",159,12,7.0,68,,,
96,The J.J. Gargantuan,"With 5 meats, 1 cheese and loads of toppings, the J.J. Gargantuan® is big enough to feed the hungriest of humans. Made with hand-sliced salami, capicola, turkey, roast beef, ham & provolone cheese then topped with onion, lettuce, tomato, mayo, oil & vinegar and oregano-basil. Choose from one of our 3 bread options- fresh-baked 8"" or 16"" Giant French bread, Thick-Sliced Wheat bread or our lettuce-wrap Unwich®.",Jimmy Johns,Unwich,na,730,430,47,15.0,0.0,205,"3,170",12,2,6.0,65,,,
97,The J.J. Gargantuan,"With 5 meats, 1 cheese and loads of toppings, the J.J. Gargantuan® is big enough to feed the hungriest of humans. Made with hand-sliced salami, capicola, turkey, roast beef, ham & provolone cheese then topped with onion, lettuce, tomato, mayo, oil & vinegar and oregano-basil. Choose from one of our 3 bread options- fresh-baked 8"" or 16"" Giant French bread, Thick-Sliced Wheat bread or our lettuce-wrap Unwich®.",Jimmy Johns,French Bread,8 Inch,450,450,50,15.0,0.0,205,"3,950",7,7,5.0,79,,,
98,The J.J. Gargantuan,"With 5 meats, 1 cheese and loads of toppings, the J.J. Gargantuan® is big enough to feed the hungriest of humans. Made with hand-sliced salami, capicola, turkey, roast beef, ham & provolone cheese then topped with onion, lettuce, tomato, mayo, oil & vinegar and oregano-basil. Choose from one of our 3 bread options- fresh-baked 8"" or 16"" Giant French bread, Thick-Sliced Wheat bread or our lettuce-wrap Unwich®.",Jimmy Johns,Think-Sliced Wheat,na,"1,100",510,55,15.0,0.0,205,"3,550",6,6,13.0,81,,,
99,The J.J. Gargantuan,"With 5 meats, 1 cheese and loads of toppings, the J.J. Gargantuan® is big enough to feed the hungriest of humans. Made with hand-sliced salami, capicola, turkey, roast beef, ham & provolone cheese then topped with onion, lettuce, tomato, mayo, oil & vinegar and oregano-basil. Choose from one of our 3 bread options- fresh-baked 8"" or 16"" Giant French bread, Thick-Sliced Wheat bread or our lettuce-wrap Unwich®.",Jimmy Johns,French Bread,16 Inch,"2,240",900,900,30.0,0.0,405,"7,910",170,13,10.0,159,,,
100,Classic Italian ," with capicola, salami, ham, pepperoni, provolone, olives, lettuce, red onions, banana peppers and red wine vinaigrette",Quiznos,Bread is a white baguette unless otherwise noted in the description,"4"" Sub",450,210,23,8.0,0.0,55,1350,40,3,5.0,21,,,
101,Classic Italian ," with capicola, salami, ham, pepperoni, provolone, olives, lettuce, red onions, banana peppers and red wine vinaigrette",Quiznos,Bread is a white baguette unless otherwise noted in the description,"8"" Sub",890,430,48,15.0,1.0,90,2540,79,5,10.0,38,,,
102,Classic Italian ," with capicola, salami, ham, pepperoni, provolone, olives, lettuce, red onions, banana peppers and red wine vinaigrette",Quiznos,Bread is a white baguette unless otherwise noted in the description,"12"" Sub",1260,560,63,22.0,1.0,160,3760,115,8,13.0,61,,,
103,Classic Italian ," with capicola, salami, ham, pepperoni, provolone, olives, lettuce, red onions, banana peppers and red wine vinaigrette",Quiznos,Bread is a white baguette unless otherwise noted in the description,Sammie,330,240,26,9.0,0.0,65,1240,37,1,3.0,18,,,
104,Turkey Ranch & Swiss ," with lettuce, tomatoes, onions",Quiznos,Bread is a white baguette unless otherwise noted in the description,"4"" Sub",340,110,12,4.5,0.0,40,980,37,2,4.0,20,,,
105,Turkey Ranch & Swiss ," with lettuce, tomatoes, onions",Quiznos,Bread is a white baguette unless otherwise noted in the description,"8"" Sub",670,220,25,9.0,0.0,75,1870,73,4,7.0,39,,,
106,Turkey Ranch & Swiss ," with lettuce, tomatoes, onions",Quiznos,Bread is a white baguette unless otherwise noted in the description,"12"" Sub",1010,340,38,13.0,0.5,115,2840,110,7,10.0,58,,,
107,Turkey Ranch & Swiss ," with lettuce, tomatoes, onions",Quiznos,Bread is a white baguette unless otherwise noted in the description,Sammie,340,140,16,4.5,0.0,40,970,31,4,3.0,19,,,
108,Spicy Monterey ," with turkey, ham, provolone, pickles, lettuce, tomatoes, mayo, four pepper chili sauce",Quiznos,Bread is a white baguette unless otherwise noted in the description,"4"" Sub",300,70,8,3.0,0.0,35,1140,41,2,7.0,19,,,
109,Spicy Monterey ," with turkey, ham, provolone, pickles, lettuce, tomatoes, mayo, four pepper chili sauce",Quiznos,Bread is a white baguette unless otherwise noted in the description,"8"" Sub",600,140,15,6.0,0.0,65,2270,81,4,13.0,38,,,
110,Spicy Monterey ," with turkey, ham, provolone, pickles, lettuce, tomatoes, mayo, four pepper chili sauce",Quiznos,Bread is a white baguette unless otherwise noted in the description,"12"" Sub",920,230,25,10.0,0.5,90,3440,124,6,22.0,54,,,
111,Spicy Monterey ," with turkey, ham, provolone, pickles, lettuce, tomatoes, mayo, four pepper chili sauce",Quiznos,Bread is a white baguette unless otherwise noted in the description,Sammie,300,90,10,3.0,0.0,35,1120,35,4,7.0,18,,,
112,Tuna Melt ," with tuna salad, cheddar, pickles, tomatoes (salad recipe with red wine vinaigrette)",Quiznos,Bread is a white baguette unless otherwise noted in the description,"4"" Sub",330,100,11,4.5,0.0,40,930,38,2,3.0,22,,,
113,Tuna Melt ," with tuna salad, cheddar, pickles, tomatoes (salad recipe with red wine vinaigrette)",Quiznos,Bread is a white baguette unless otherwise noted in the description,"8"" Sub",660,200,22,9.0,0.0,75,1850,76,3,6.0,44,,,
114,Tuna Melt ," with tuna salad, cheddar, pickles, tomatoes (salad recipe with red wine vinaigrette)",Quiznos,Bread is a white baguette unless otherwise noted in the description,"12"" Sub",990,290,32,14.0,0.0,115,2770,114,5,9.0,66,,,
115,Tuna Melt ," with tuna salad, cheddar, pickles, tomatoes (salad recipe with red wine vinaigrette)",Quiznos,Bread is a white baguette unless otherwise noted in the description,Sammie,330,120,13,4.5,0.0,40,880,32,4,3.0,21,,,
116,Ultimate Turkey Club ," with bacon, cheddar, lettuce, tomatoes, mayo (salad recipe with ranch)",Quiznos,Bread is a white baguette unless otherwise noted in the description,"4"" Sub",370,130,14,6.0,0.0,50,1200,37,2,4.0,23,,,
117,Ultimate Turkey Club ," with bacon, cheddar, lettuce, tomatoes, mayo (salad recipe with ranch)",Quiznos,Bread is a white baguette unless otherwise noted in the description,"8"" Sub",740,260,29,11.0,0.0,100,2400,73,4,7.0,47,,,
118,Ultimate Turkey Club ," with bacon, cheddar, lettuce, tomatoes, mayo (salad recipe with ranch)",Quiznos,Bread is a white baguette unless otherwise noted in the description,"12"" Sub",1120,400,44,17.0,0.0,150,3640,109,6,10.0,70,,,
119,Ultimate Turkey Club ," with bacon, cheddar, lettuce, tomatoes, mayo (salad recipe with ranch)",Quiznos,Bread is a white baguette unless otherwise noted in the description,Sammie,370,160,17,6.0,0.0,50,1190,30,4,3.0,22,,,
120,Honey Bacon Club ," with turkey, ham, bacon, swiss, lettuce, tomatoes, onions, honey french dressing",Quiznos,Bread is a white baguette unless otherwise noted in the description,"4"" Sub",420,150,16,6.0,0.0,45,1170,44,2,11.0,24,,,
121,Honey Bacon Club ," with turkey, ham, bacon, swiss, lettuce, tomatoes, onions, honey french dressing",Quiznos,Bread is a white baguette unless otherwise noted in the description,"8"" Sub",830,290,32,11.0,0.0,95,2340,88,4,20.0,47,,,
122,Honey Bacon Club ," with turkey, ham, bacon, swiss, lettuce, tomatoes, onions, honey french dressing",Quiznos,Bread is a white baguette unless otherwise noted in the description,"12"" Sub",1270,450,50,17.0,0.5,140,3530,133,6,32.0,71,,,
123,Honey Bacon Club ," with turkey, ham, bacon, swiss, lettuce, tomatoes, onions, honey french dressing",Quiznos,Bread is a white baguette unless otherwise noted in the description,Sammie,430,180,19,6.0,0.0,45,1150,39,4,11.0,23,,,
124,Traditional Club ," with black angus steak, turkey, ham, cheddar, lettuce, black olives, tomatoes, onions, ranch",Quiznos,Bread is a white baguette unless otherwise noted in the description,"4"" Sub",360,130,15,5.0,0.0,45,1110,38,2,4.0,20,,,
125,Traditional Club ," with black angus steak, turkey, ham, cheddar, lettuce, black olives, tomatoes, onions, ranch",Quiznos,Bread is a white baguette unless otherwise noted in the description,"8"" Sub",720,270,30,10.0,0.0,90,2220,76,4,9.0,39,,,
126,Traditional Club ," with black angus steak, turkey, ham, cheddar, lettuce, black olives, tomatoes, onions, ranch",Quiznos,Bread is a white baguette unless otherwise noted in the description,"12"" Sub",1100,420,46,15.0,0.0,135,3360,114,6,13.0,58,,,
127,Traditional Club ," with black angus steak, turkey, ham, cheddar, lettuce, black olives, tomatoes, onions, ranch",Quiznos,Bread is a white baguette unless otherwise noted in the description,Sammie,370,160,18,5.0,0.0,45,1100,32,4,4.0,19,,,
128,Chipotle Turkey ," with cheddar, lettuce, tomatoes, onions, chipotle mayo",Quiznos,Bread is a white baguette unless otherwise noted in the description,"4"" Sub",390,170,18,6.0,0.0,40,1010,36,2,4.0,19,,,
129,Chipotle Turkey ," with cheddar, lettuce, tomatoes, onions, chipotle mayo",Quiznos,Bread is a white baguette unless otherwise noted in the description,"8"" Sub",770,330,37,11.0,0.0,85,2030,72,4,7.0,38,,,
130,Chipotle Turkey ," with cheddar, lettuce, tomatoes, onions, chipotle mayo",Quiznos,Bread is a white baguette unless otherwise noted in the description,"12"" Sub",1170,520,58,17.0,0.5,130,3080,108,7,10.0,57,,,
131,Chipotle Turkey ," with cheddar, lettuce, tomatoes, onions, chipotle mayo",Quiznos,Bread is a white baguette unless otherwise noted in the description,Sammie,400,210,23,6.0,0.0,45,1010,30,4,3.0,18,,,
132,Turkey Bacon Guacamole ," with provolone, lettuce, tomatoes, onions, ranch",Quiznos,Bread is a white baguette unless otherwise noted in the description,"4"" Sub",420,170,18,5.0,0.0,45,1240,39,3,4.0,24,,,
133,Turkey Bacon Guacamole ," with provolone, lettuce, tomatoes, onions, ranch",Quiznos,Bread is a white baguette unless otherwise noted in the description,"8"" Sub",840,330,37,11.0,0.0,90,2490,79,7,9.0,49,,,
134,Turkey Bacon Guacamole ," with provolone, lettuce, tomatoes, onions, ranch",Quiznos,Bread is a white baguette unless otherwise noted in the description,"12"" Sub",1260,510,57,16.0,1.0,140,3760,116,10,11.0,72,,,
135,Turkey Bacon Guacamole ," with provolone, lettuce, tomatoes, onions, ranch",Quiznos,Bread is a white baguette unless otherwise noted in the description,Sammie,420,200,22,6.0,0.0,45,1240,33,5,4.0,23,,,
136,Black Angus Steakhouse ," with provolone, cheddar, sauteed mushrooms & onions, grille sauce on rosemary parmesan bread",Quiznos,Bread is a white baguette unless otherwise noted in the description,"4"" Sub",390,120,13,6.0,0.0,50,1010,44,2,9.0,23,,,
137,Black Angus Steakhouse ," with provolone, cheddar, sauteed mushrooms & onions, grille sauce on rosemary parmesan bread",Quiznos,Bread is a white baguette unless otherwise noted in the description,"8"" Sub",780,240,27,13.0,0.0,100,2010,88,4,19.0,47,,,
138,Black Angus Steakhouse ," with provolone, cheddar, sauteed mushrooms & onions, grille sauce on rosemary parmesan bread",Quiznos,Bread is a white baguette unless otherwise noted in the description,"12"" Sub",1170,360,40,19.0,0.5,150,3060,134,6,30.0,70,,,
139,Black Angus Steakhouse ," with provolone, cheddar, sauteed mushrooms & onions, grille sauce on rosemary parmesan bread",Quiznos,Bread is a white baguette unless otherwise noted in the description,Sammie,390,140,15,6.0,0.0,50,1000,39,4,10.0,23,,,
140,Peppercorn Steak ," with provolone, sauteed onions, peppercorn sauce",Quiznos,Bread is a white baguette unless otherwise noted in the description,"4"" Sub",420,190,21,5.0,0.0,50,920,38,2,3.0,20,,,
141,Peppercorn Steak ," with provolone, sauteed onions, peppercorn sauce",Quiznos,Bread is a white baguette unless otherwise noted in the description,"8"" Sub",840,380,42,11.0,1.0,95,1830,76,4,6.0,40,,,
142,Peppercorn Steak ," with provolone, sauteed onions, peppercorn sauce",Quiznos,Bread is a white baguette unless otherwise noted in the description,"12"" Sub",1290,590,66,16.0,1.0,145,2780,114,6,10.0,60,,,
143,Peppercorn Steak ," with provolone, sauteed onions, peppercorn sauce",Quiznos,Bread is a white baguette unless otherwise noted in the description,Sammie,440,230,26,6.0,0.0,50,910,32,4,3.0,19,,,
144,French Dip ," with sauteed onions, swiss, horseradish sauce, side of au jus",Quiznos,Bread is a white baguette unless otherwise noted in the description,"4"" Sub",400,150,16,4.5,0.0,50,1670,40,2,5.0,22,,,
